Periodo,01 Andalucía,02 Aragón,"03 Asturias, Principado de","04 Balears, Illes",06 Cantabria,07 Castilla y León,08 Castilla - La Mancha,09 Cataluña,10 Comunitat Valenciana,11 Extremadura,12 Galicia,"13 Madrid, Comunidad de","14 Murcia, Región de","15 Navarra, Comunidad Foral de",16 País Vasco,"17 Rioja, La"
01,-0.010273296461770665,-0.01529934585028736,-0.007031506734220039,-0.009204449660891734,0.00023190760471580862,-0.06154479596911,-0.03639657018003317,0.013444027744577203,0.0037949195848003825,-0.001714573183061785,0.006787065293124783,-0.05323694312882743,-0.019022944184544865,-0.03442521767498119,-0.04035035641828855,-0.04360579462051395
02,-0.017750796369242927,0.0015926341398760924,0.0028022421128734987,-0.030380530060134747,0.0033440458281757124,-0.04503827293498053,-0.016472799200353383,0.01137262412698048,0.0005124528345421542,7.939012391666722e-05,-0.01002356212820854,-0.04421869272186918,-0.031001888778913078,-0.02443446801612592,-0.023403301495694806,-0.012038168219066558
03,-0.027897959864854105,-0.0034545381872440606,0.011677430367162955,-0.04834664919219578,0.008013420533322213,-0.01606329121913752,-0.007514832844456754,0.006835188479066057,-0.00890676551498526,-0.009256813596361435,-0.004564291391314201,-0.02542589065099299,-0.04919473482381276,0.0038453355195045003,-0.009560947137996156,-0.010001860889487846
04,-0.04322644875345105,0.0030116628963724468,0.019964921415855708,-0.06255798760237186,0.009946825600745335,0.00854904518180355,0.0096904387232718,-0.007710843294581604,-0.030429933876946036,0.008212429096896345,0.01184046882501244,0.006109079441331211,-0.06588953887251214,0.031150649968085142,0.0025023913720945146,0.012311639566609967
05,-0.055517665495839474,0.0177625782076406,0.022271514098770373,-0.09000698453157463,0.021177236707157765,0.022271514098770373,0.014864916155619134,0.0074102354333012155,-0.04921676684867082,0.022271514098770373,0.006555712126945834,0.022271514098770373,-0.10304064761835174,0.022271514098770373,0.022271514098770373,0.022271514098770373
06,-0.04728665506773144,0.023059664238657462,-0.0025484423845083537,-0.06549340328957298,0.020103186525448513,0.02198392232509838,0.03762478909311395,-0.001291752713210803,-0.040797914507988864,0.025200002542651756,-0.011086978744624831,0.013109049381823779,-0.08209425330119913,0.029503063173900834,-0.01682659944832543,0.028092545867725582
07,-0.026150445851228166,0.024777723476672953,-0.004587529004513646,-0.043445647329746984,0.015869380767488894,-0.006073104318655043,0.024777723476672953,0.002559816170877527,-0.023827974377138017,0.011202593942994166,-0.01924590292007966,-0.017231473081271154,-0.05206537824780366,-0.011525251460769992,-0.0423935788829799,-0.01698737945954032
08,-0.011158822257830159,0.003932195453813514,-0.0010990217486726017,-0.011723067501760331,0.03930143761186433,-0.02669078196835839,0.010564104897912596,-0.009824618607862767,-0.0072360602026899645,-0.004260902539826805,-0.007152986508385917,-0.04655188106321406,-0.03259122232171685,-0.011946705912054933,-0.045940454465841274,-0.02128365465179849
09,0.0,-0.014889736022298816,-0.03422946886247136,0.0,0.0,-0.05721666367315026,-0.016891090631665273,0.0,0.0,-0.015260103626942967,0.0,-0.05657189184926703,0.0,-0.04436059366352885,-0.06747911533367368,-0.0537658904263697
10,-0.0020372085175232035,-0.02360230833025978,-0.020399385302000805,0.009213859592305806,0.0024019640136856424,-0.06459595631557391,-0.03340115684087763,-0.0024269058412029754,0.006371489864272162,-0.02365512256040203,0.0006046369953918163,-0.05094488990156654,-0.00022085968237273157,-0.053567042745800264,-0.06479207130832276,-0.057002825403235646
11,-0.0014349656188638038,-0.01406612828875331,-0.014588209245677386,0.009606015721986383,0.006351000147419628,-0.0778377138587848,-0.04042902075327226,0.002031195076721559,0.0035290424945915166,-0.020862165210913552,0.0007052038438621899,-0.052525354449057704,0.002070330111926033,-0.054214603406176676,-0.058868722323489275,-0.03655443970515071
12,-0.0018806628316870855,-0.018838184824204185,-0.006339854792181354,-0.006372636040900881,0.011308746166897699,-0.06640719884582591,-0.042086529308046905,0.001600698534415801,0.010838031281426574,-0.01204321546288023,-0.003040704711199882,-0.04709421964096072,-0.0008947329194924913,-0.06776635120586127,-0.0598844384397722,-0.02422011921013245
