Periodo,Total
01,57165.48387096774
02,57193.486725663715
03,57742.45161290323
04,58319.833333333336
05,59311.1935483871
06,58155.86666666667
07,59159.16129032258
08,58037.83870967742
09,60662.23333333333
10,58786.87096774193
11,57254.0
12,55969.032258064515
