Comunidades y Ciudades Autónomas;Periodo;Total
04 Balears, Illes;2010;101,22
04 Balears, Illes;2009;101,34
04 Balears, Illes;2008;101
04 Balears, Illes;2007;100,39
04 Balears, Illes;2006;99,85
04 Balears, Illes;2005;99,5
04 Balears, Illes;2004;99,16
04 Balears, Illes;2003;98,97
04 Balears, Illes;2002;98,39
04 Balears, Illes;2001;98,26
04 Balears, Illes;2000;98,11
04 Balears, Illes;1999;97,99
04 Balears, Illes;1998;97,78
04 Balears, Illes;1997;97,62
04 Balears, Illes;1996;97,52
04 Balears, Illes;1995;97,41
04 Balears, Illes;1994;97,2
04 Balears, Illes;1993;97,09
04 Balears, Illes;1992;96,93
04 Balears, Illes;1991;96,73
04 Balears, Illes;1990;96,9
04 Balears, Illes;1989;97
04 Balears, Illes;1988;97,06
04 Balears, Illes;1987;97,19
04 Balears, Illes;1986;97,29
04 Balears, Illes;1985;97,42
04 Balears, Illes;1984;97,44
04 Balears, Illes;1983;97,38
04 Balears, Illes;1982;97,26
04 Balears, Illes;1981;97,24
04 Balears, Illes;1980;97,35
04 Balears, Illes;1979;97,32
04 Balears, Illes;1978;97,27
04 Balears, Illes;1977;97,21
04 Balears, Illes;1976;97,13
04 Balears, Illes;1975;96,96
05 Canarias;2022;97,85
05 Canarias;2021;98,03
05 Canarias;2020;98,23
05 Canarias;2019;98,43
05 Canarias;2018;98,56
05 Canarias;2017;98,74
05 Canarias;2016;98,86
05 Canarias;2015;99,06
05 Canarias;2014;99,2
05 Canarias;2013;99,43
05 Canarias;2012;99,61
05 Canarias;2011;99,77
05 Canarias;2010;99,89
05 Canarias;2009;100,04
05 Canarias;2008;100,16
05 Canarias;2007;100,16
05 Canarias;2006;100,14
05 Canarias;2005;100
05 Canarias;2004;99,73
05 Canarias;2003;99,53
05 Canarias;2002;99
05 Canarias;2001;98,99
05 Canarias;2000;98,95
05 Canarias;1999;98,91
05 Canarias;1998;98,87
05 Canarias;1997;98,89
05 Canarias;1996;98,86
05 Canarias;1995;98,82
05 Canarias;1994;98,78
05 Canarias;1993;98,71
05 Canarias;1992;98,62
05 Canarias;1991;98,61
05 Canarias;1990;98,81
05 Canarias;1989;98,96
05 Canarias;1988;99,11
05 Canarias;1987;99,18
05 Canarias;1986;99,23
05 Canarias;1985;99,36
05 Canarias;1984;99,46
05 Canarias;1983;99,53
05 Canarias;1982;99,49
05 Canarias;1981;99,45
05 Canarias;1980;99,5
05 Canarias;1979;99,56
05 Canarias;1978;99,58
05 Canarias;1977;99,54
05 Canarias;1976;99,48
05 Canarias;1975;99,35
06 Cantabria;2022;94,98
06 Cantabria;2021;95,09
06 Cantabria;2020;95,08
06 Cantabria;2019;95,13
06 Cantabria;2018;95,28
06 Cantabria;2017;95,45
06 Cantabria;2016;95,5
06 Cantabria;2015;95,67
06 Cantabria;2014;95,76
06 Cantabria;2013;95,83
06 Cantabria;2012;95,99
06 Cantabria;2011;96
06 Cantabria;2010;96,11
06 Cantabria;2009;96,2
06 Cantabria;2008;95,97
06 Cantabria;2007;95,55
06 Cantabria;2006;95,4
06 Cantabria;2005;95,3
06 Cantabria;2004;95,17
06 Cantabria;2003;95,04
06 Cantabria;2002;94,95
06 Cantabria;2001;94,96
06 Cantabria;2000;95,02
06 Cantabria;1999;95,12
06 Cantabria;1998;95,21
06 Cantabria;1997;95,24
06 Cantabria;1996;95,29
06 Cantabria;1995;95,41
06 Cantabria;1994;95,5
06 Cantabria;1993;95,58
06 Cantabria;1992;95,61
06 Cantabria;1991;95,68
06 Cantabria;1990;95,8
06 Cantabria;1989;95,92
06 Cantabria;1988;96,01
06 Cantabria;1987;96,09
06 Cantabria;1986;96,12
06 Cantabria;1985;96,22
06 Cantabria;1984;96,25
06 Cantabria;1983;96,24
06 Cantabria;1982;96,24
06 Cantabria;1981;96,18
06 Cantabria;1980;96,19
06 Cantabria;1979;96,21
06 Cantabria;1978;96,16
06 Cantabria;1977;96,08
06 Cantabria;1976;96,01
06 Cantabria;1975;95,9
07 Castilla y León;2022;97,33
07 Castilla y León;2021;97,4
07 Castilla y León;2020;97,45
07 Castilla y León;2019;97,52
07 Castilla y León;2018;97,58
07 Castilla y León;2017;97,73
07 Castilla y León;2016;97,8
07 Castilla y León;2015;97,92
07 Castilla y León;2014;98,04
07 Castilla y León;2013;98,17
07 Castilla y León;2012;98,35
07 Castilla y León;2011;98,43
07 Castilla y León;2010;98,51
07 Castilla y León;2009;98,59
07 Castilla y León;2008;98,42
07 Castilla y León;2007;97,86
07 Castilla y León;2006;97,63
07 Castilla y León;2005;97,47
07 Castilla y León;2004;97,29
07 Castilla y León;2003;97,22
07 Castilla y León;2002;97,07
07 Castilla y León;2001;97,14
07 Castilla y León;2000;97,22
07 Castilla y León;1999;97,35
07 Castilla y León;1998;97,45
07 Castilla y León;1997;97,54
07 Castilla y León;1996;97,62
07 Castilla y León;1995;97,69
07 Castilla y León;1994;97,74
07 Castilla y León;1993;97,83
07 Castilla y León;1992;97,87
07 Castilla y León;1991;97,93
07 Castilla y León;1990;98,04
07 Castilla y León;1989;98,15
07 Castilla y León;1988;98,21
